v1,message
smishing,"James, your tax record (case CASE-476417) indicates a discrepancy of $1,000.00. This is your final notice before legal action is taken immediately."
smishing,"This is not a joke. We have private footage of you. $12,450.00 required within 30 minutes to prevent release to your friends and family: shorturl.at/a8Xk2p"
smishing,"URGENT from Internal Revenue Service: An arrest warrant has been issued under case number CASE-629903 due to tax fraud of $8,320.75. Resolve within 30 minutes to avoid prosecution: bit.ly/CaseUpdt9"
smishing,Your SSN has been suspended due to suspicious tax activity linked to case CASE-198246. Verify identity within 30 minutes or face legal consequences: tinyurl.com/PayNow-x1
smishing,USCIS NOTICE: Discrepancy found in your immigration file (case CASE-733052). Deportation proceedings begin within 2 hours unless you respond: urlz.fr/a8Xk2p
smishing,USCIS NOTICE: Discrepancy found in your immigration file (case CASE-456778). Deportation proceedings begin before end of business today unless you respond: tinyurl.com/a8Xk2p
smishing,This is a legal notice from local Police Dept. Case CASE-131244 against you proceeds to court within 24 hours unless you respond. Reference: urlz.fr/PayNow-x1
smishing,"Your device was hacked and we recorded you. Send $3,982.00 immediately or the footage goes to everyone on your contact list. Details: bit.ly/ClaimHere7"
smishing,This is Officer Michael #5554 from State Police. Your identity has been used in a crime linked to case CASE-145561. Call (428) 728-7649 within 3 hours or a warrant will be issued.
smishing,"Your device was hacked and we recorded you. Send $8,320.75 by tomorrow 9AM or the footage goes to everyone on your contact list. Details: tinyurl.com/ClaimHere7"
smishing,ALERT: FBI Cyber Division has an active warrant CASE-571029 for your arrest regarding unpaid fines of $746.32. Avoid arrest by calling (720) 656-8975 within 2 hours.
smishing,Your device was hacked and we recorded you! Send $746!32 immediately or the footage goes to everyone on your contact list! Details: urlz!fr/CaseUpdt9
smishing,THIS IS A LEGAL NOTICE FROM STATE POLICE. CASE CASE-872246 AGAINST YOU PROCEEDS TO COURT WITHIN 3 HOURS UNLESS YOU RESPOND. REFERENCE: URLZ.FR/CLAIMHERE7
smishing,"YOUR LOAN IS SEVERELY DELINQUENT ($12,450.00). YOUR CREDIT UNION LEGAL DEPT WILL PURSUE COURT ACTION BEFORE END OF BUSINESS TODAY. REPLY TO AVOID CREDIT SEIZURE: URLZ.FR/SECURELINK3"
smishing,"Your loan is severely delinquent ($5,600!00)! Chase legal dept will pursue court action within 3 hours! Reply to avoid credit seizure: shorturl!at/a8Xk2p"
smishing,THIS IS OFFICER SUSAN #2654 FROM STATE POLICE. YOUR IDENTITY HAS BEEN USED IN A CRIME LINKED TO CASE CASE-629903. CALL (773) 985-8751 WITHIN 3 HOURS OR A WARRANT WILL BE ISSUED.
smishing,USCIS NOTICE: Discrepancy found in your immigration file (case CASE-571029). Deportation proceedings begin immediately unless you respond: bit.ly/a8Xk2p
smishing,"Your device was hacked and we recorded you. Send $1,247.50 immediately or the footage goes to everyone on your contact list. Details: shorturl.at/PayNow-x1"
smishing,Treasury Dept NOTICE: Your case CASE-542417 shows unpaid taxes of $589.99. Failure to respond within 30 minutes will result in a legal warrant for your arrest. Call (270) 983-4394 now.
smishing,Immigration Alert: Case CASE-391369 flagged for review. Contact (457) 683-8583 within 30 minutes or face detainment.
smishing,FINAL NOTICE from your electric company: Your service will be disconnected immediately due to unpaid balance of $92.50. Pay now: shorturl.at/SecureLink3
smishing,FINAL NOTICE from your electric company: Your service will be disconnected by 5PM today due to unpaid balance of $746.32. Pay now: shorturl.at/Verify-Now22
smishing,"DEBT RECOVERY NOTICE: $92.50 OWED, CASE CASE-895667. A SUMMONS WILL BE FILED WITH COUNTY COURT WITHIN 30 MINUTES UNLESS RESOLVED. CONTACT (204) 738-3958 NOW."
smishing,"Richard, your tax record (case CASE-126225) indicates a discrepancy of $5,600.00. This is your final notice before legal action is taken by 5PM today."
smishing,We have compromising video from your device camera. Pay $589.99 in crypto before end of business today to tinyurl.com/PayNow-x1 or we send it to all your contacts.
smishing,"Your account with the power company is past due ($3,982.00). Service termination within 30 minutes. Prevent shutoff by calling (822) 887-2225."
smishing,"I know your password and have access to your camera. Pay $2,100.00 within 2 hours or the recording gets shared publicly. Payment link: bit.ly/Verify-Now22"
smishing,"Your account with your water utility is past due ($2,100.00). Service termination within 30 minutes. Prevent shutoff by calling (564) 332-2595."
smishing,We have compromising video from your device camera. Pay $199.00 in crypto within 30 minutes to urlz.fr/Verify-Now22 or we send it to all your contacts.
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-343962) unless you verify employment details within 24 hours: shorturl.at/a8Xk2p
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-781453) unless you verify employment details within 24 hours: tinyurl.com/Verify-Now22
smishing,FBI CYBER DIVISION: WE HAVE DETAINED AN INDIVIDUAL USING YOUR SSN. CASE CASE-498382 REQUIRES YOUR STATEMENT WITHIN 2 HOURS. FAILURE TO RESPOND RESULTS IN IMMEDIATE ARREST.
smishing,Your vehicle was involved in an incident under investigation (case CASE-391704). County Sheriff's Office requires you contact (556) 531-8674 before end of business today or face legal charges.
smishing,Your account with your water utility is past due ($450.00). Service termination by tomorrow 9AM. Prevent shutoff by calling (456) 377-4242.
smishing,"We have compromising video from your device camera. Pay $3,982.00 in crypto before end of business today to urlz.fr/a8Xk2p or we send it to all your contacts."
smishing,Your vehicle was involved in an incident under investigation (case CASE-946335)! FBI Cyber Division requires you contact (701) 567-4087 by 5PM today or face legal charges!
smishing,"FINAL NOTICE: Your account with your bank shows an outstanding balance of $2,100.00. Legal action will begin within 24 hours. Case ref CASE-988662. Call (531) 357-1473."
smishing,NOTICE: Your bank account will be frozen within 3 hours due to case CASE-216739. Verify identity now: urlz.fr/a8Xk2p
smishing,Your SSN has been suspended due to suspicious tax activity linked to case CASE-263032. Verify identity within 2 hours or face legal consequences: shorturl.at/Verify-Now22
smishing,"FINAL NOTICE: Your account with your bank shows an outstanding balance of $5,600.00. Legal action will begin within 30 minutes. Case ref CASE-388389. Call (407) 636-6527."
smishing,"IRS ALERT: Suit has been filed against you in Superior Court for tax evasion, amount $450.00. Contact (741) 457-1188 by tomorrow 9AM to prevent asset seizure."
smishing,ALERT: US Marshals has an active warrant CASE-498382 for your arrest regarding unpaid fines of $450.00. Avoid arrest by calling (425) 893-4767 within 3 hours.
smishing,"FINAL NOTICE from your water utility: Your service will be disconnected within 24 hours due to unpaid balance of $8,320.75. Pay now: shorturl.at/Verify-Now22"
smishing,Your assets are subject to seizure under case CASE-334053 unless resolved within 24 hours. Call (976) 793-2831 immediately.
smishing,"This is Federal Tax Bureau. You owe $8,320.75 in back taxes. Case CASE-207175 will be forwarded to law enforcement by tomorrow 9AM unless payment is confirmed. Reply YES or call (978) 252-4335."
smishing,"Maria, this is your last warning before District Court proceedings begin over unpaid debt of $3,982!00! Settle within 2 hours to avoid wage garnishment: tinyurl!com/Verify-Now22"
smishing,"IRS ALERT: Suit has been filed against you in Superior Court for tax evasion, amount $2,100.00. Contact (914) 444-7274 within 30 minutes to prevent asset seizure."
smishing,"Maria, your tax record (case CASE-198246) indicates a discrepancy of $92.50. This is your final notice before legal action is taken before end of business today."
smishing,USCIS NOTICE: Discrepancy found in your immigration file (case CASE-809570). Deportation proceedings begin by tomorrow 9AM unless you respond: bit.ly/CaseUpdt9
smishing,This is a legal notice from US Marshals. Case CASE-263032 against you proceeds to court immediately unless you respond. Reference: shorturl.at/CaseUpdt9
smishing,Your employment status is under review due to case CASE-542417. Termination proceedings begin by 5PM today unless you respond: bit.ly/ClaimHere7
smishing,This is Officer Sarah #5554 from State Police! Your identity has been used in a crime linked to case CASE-988662! Call (844) 298-8370 within 3 hours or a warrant will be issued!
smishing,Your SSN has been suspended due to suspicious tax activity linked to case CASE-571029. Verify identity before end of business today or face legal consequences: tinyurl.com/PayNow-x1
smishing,"James, this is your last warning before Municipal Court proceedings begin over unpaid debt of $2,100.00. Settle before end of business today to avoid wage garnishment: tinyurl.com/ClaimHere7"
smishing,Your loan is severely delinquent ($92.50). Chase legal dept will pursue court action before end of business today. Reply to avoid credit seizure: shorturl.at/PayNow-x1
smishing,Treasury Dept NOTICE: Your case CASE-542417 shows unpaid taxes of $746.32. Failure to respond within 24 hours will result in a legal warrant for your arrest. Call (248) 444-7878 now.
smishing,NOTICE: Your bank account will be frozen immediatly due to case CASE-476417. Verify identity now: shorturl.at/PayNow-x1
smishing,This is Officer Patricia #2139 from US Marshals. Your identity has been used in a crime linked to case CASE-876646. Call (815) 208-4666 before end of business today or a warrant will be issued.
smishing,"FINAL NOTICE: YOUR ACCOUNT WITH WELLS FARGO SHOWS AN OUTSTANDING BALANCE OF $3,982.00. LEGAL ACTION WILL BEGIN WITHIN 3 HOURS. CASE REF CASE-809570. CALL (220) 751-6343."
smishing,This is a legal notice from Federal Marshal's Office. Case CASE-133326 against you proceeds to court by tomorrow 9AM unless you respond. Reference: shorturl.at/PayNow-x1
